,이름,포지션,출전,클린시트,실점,태클 횟수,태클 성공률,슛 블록 횟수,인터셉트 횟수,걷어내기 횟수,해딩 걷어내기 횟수,라인 밖으로 걷어내기 횟수,볼 소유권 가져오기 횟수,경합 승리,경합 실패,공중볼 경합 승리,공중볼 경합 패배,자책골,실점으로 이어진 실책,어시스트,패스 횟수,경기당 평균 패스 횟수,결정적 기회 창출 횟수,크로스 횟수,크로스 성공률,스루패스 횟수,긴 패스 성공률,경고,퇴장,반칙,옵사이드,골,해딩 골,오른발 골,왼발 골,골포스트,경기당 골,페널티킥 골,프리킥 골,슈팅 횟수,유효 수팅,슈팅 성공률,결정적 찬스 놓친 횟수,선방,페널티킥 선방,펀칭,공중볼 처리,캐칭,던지기 횟수,골킥
574,Adam Masina ,수비수,26,4,31,38,58%,2,28,59,31,2,99,126,101,68,33,0,0,0,697,26.81,0,69,20%,1,46,3,0,26,2,1,0,0,1,0,,,,,,,,,,,,,,
575,Joe Mason ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
576,Mason Bloomfield ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
577,Ntumba Massanka ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
578,Arthur Masuaku ,수비수,17,1,18,41,56%,0,14,22,10,0,74,89,76,12,14,0,0,1,503,29.59,2,25,20%,2,17,4,1,10,0,0,0,0,0,0,,,,,,,,,,,,,,
579,Juan Mata ,미드필더,19,,,7,43%,2,0,1,0,,33,24,32,2,6,,0,2,511,26.89,3,23,30%,4,21,1,0,7,4,0,0,0,0,0,0,0,0,10,2,20%,1,,,,,,,
580,Luke Matheson ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
581,Nemanja Matic ,미드필더,21,,,46,52%,2,22,26,16,,146,110,93,29,23,,0,2,"1,265",60.24,0,3,67%,2,46,3,0,27,0,0,0,0,0,1,0,0,0,7,2,29%,0,,,,,,,
582,Joel Matip ,수비수,9,2,5,13,69%,0,12,37,24,0,51,66,21,47,5,0,0,0,553,61.44,0,1,0%,0,26,0,0,7,0,1,1,0,0,0,,,,,,,,,,,,,,
583,Matthew Longstaff ,미드필더,9,,,3,33%,1,5,3,1,,38,17,29,6,5,,0,0,255,28.33,1,2,50%,1,10,1,0,6,0,2,0,2,0,1,0.22,0,0,4,2,50%,0,,,,,,,
